reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,PE,305213099.38,2024,un_comtrade,energy,2711,natural_gas,USD
JP,CO,301917815.201,2024,un_comtrade,energy,2701,coal,USD
JP,AU,278418687.763,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,AU,262244065.605,2024,un_comtrade,energy,2709,crude_oil,USD
JP,PE,254661204.447,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,AU,250535602.196,2022,un_comtrade,energy,2709,crude_oil,USD
JP,AU,243960619.723,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,MY,242720861.097,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,VN,236155527.885,2023,un_comtrade,energy,2709,crude_oil,USD
JP,BH,222509285.254,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,KW,220125709.908,2024,un_comtrade,energy,2711,natural_gas,USD
JP,IT,214843634.251,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,PE,207358521.469,2023,un_comtrade,energy,2711,natural_gas,USD
JP,EG,199938850.516,2022,un_comtrade,energy,2711,natural_gas,USD
JP,GQ,199108635.22,2024,un_comtrade,energy,2711,natural_gas,USD
JP,PG,194745476.884,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,RU,191740357.465,2024,un_comtrade,energy,2701,coal,USD
JP,SG,190096822.559,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,CN,187048797.982,2022,un_comtrade,energy,2701,coal,USD
JP,PE,181544613.883,2022,un_comtrade,energy,2711,natural_gas,USD
JP,CN,178310467.424,2023,un_comtrade,energy,2711,natural_gas,USD
JP,RU,173329228.044,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,ID,168190158.872,2023,un_comtrade,energy,2709,crude_oil,USD
JP,KW,165414377.855,2023,un_comtrade,energy,2711,natural_gas,USD
JP,MY,165210999.47,2022,un_comtrade,energy,2709,crude_oil,USD
JP,GQ,164638778.061,2023,un_comtrade,energy,2711,natural_gas,USD
JP,NG,161853096.072,2023,un_comtrade,energy,2711,natural_gas,USD
JP,BN,161762898.297,2023,un_comtrade,energy,2709,crude_oil,USD
JP,EG,161300243.215,2023,un_comtrade,energy,2711,natural_gas,USD
JP,AU,160743552.015,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,TH,155550654.641,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,IN,155469637.294,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,VN,154279438.481,2024,un_comtrade,energy,2709,crude_oil,USD
JP,VN,149335581.634,2022,un_comtrade,energy,2701,coal,USD
JP,VN,147114151.782,2023,un_comtrade,energy,2701,coal,USD
JP,MY,146832616.166,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,DZ,144335032.015,2022,un_comtrade,energy,2711,natural_gas,USD
JP,CN,121318000.866,2023,un_comtrade,energy,2701,coal,USD
JP,AO,121294798.291,2022,un_comtrade,energy,2709,crude_oil,USD
JP,SA,119991585.994,2022,un_comtrade,energy,2711,natural_gas,USD
JP,BN,117147853.025,2024,un_comtrade,energy,2709,crude_oil,USD
JP,NZ,116995125.478,2022,un_comtrade,energy,2701,coal,USD
JP,ES,116973531.629,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,ID,113984718.465,2024,un_comtrade,energy,2709,crude_oil,USD
JP,IN,113800024.831,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,GQ,109390774.874,2022,un_comtrade,energy,2711,natural_gas,USD
JP,MY,106590608.894,2023,un_comtrade,energy,2709,crude_oil,USD
JP,EG,98183460.904,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,CN,95595593.188,2024,un_comtrade,energy,2711,natural_gas,USD
JP,IT,94841657.114,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,MZ,88360778.654,2023,un_comtrade,energy,2711,natural_gas,USD
JP,KZ,86027502.374,2022,un_comtrade,energy,2709,crude_oil,USD
JP,OM,85108477.388,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,BH,84973970.346,2023,un_comtrade,energy,2709,crude_oil,USD
JP,TH,82816686.007,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,NZ,82040522.53,2024,un_comtrade,energy,2701,coal,USD
JP,BN,80506116.511,2022,un_comtrade,energy,2709,crude_oil,USD
JP,VN,80258990.01,2024,un_comtrade,energy,2701,coal,USD
JP,NZ,76530257.074,2023,un_comtrade,energy,2701,coal,USD
JP,CN,74590350.724,2024,un_comtrade,energy,2701,coal,USD
JP,CN,73888585.91,2022,un_comtrade,energy,2711,natural_gas,USD
JP,TL,71126189.533,2022,un_comtrade,energy,2711,natural_gas,USD
JP,NL,69978363.457,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,TT,65803369.208,2022,un_comtrade,energy,2711,natural_gas,USD
JP,SG,65117172.584,2024,un_comtrade,energy,2711,natural_gas,USD
JP,DZ,63588866.826,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,OM,63514515.942,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,MX,61938202.267,2024,un_comtrade,energy,2709,crude_oil,USD
JP,TH,61587073.997,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,PG,56823167.783,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,MZ,56740990.434,2022,un_comtrade,energy,2701,coal,USD
JP,DZ,53068991.874,2022,un_comtrade,energy,2709,crude_oil,USD
JP,KR,51188822.027,2024,un_comtrade,energy,2711,natural_gas,USD
JP,SS,49631787.499,2022,un_comtrade,energy,2709,crude_oil,USD
JP,RU,49273652.422,2023,un_comtrade,energy,2709,crude_oil,USD
JP,SG,49198062.75,2022,un_comtrade,energy,2711,natural_gas,USD
JP,GR,49170655.519,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,PK,47636010.299,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,TR,47287457.833,2023,un_comtrade,energy,2711,natural_gas,USD
JP,KZ,46028426.623,2024,un_comtrade,energy,2701,coal,USD
JP,KR,45471530.052,2023,un_comtrade,energy,2711,natural_gas,USD
JP,ID,42706929.369,2022,un_comtrade,energy,2709,crude_oil,USD
JP,KR,39871216.368,2022,un_comtrade,energy,2711,natural_gas,USD
JP,AO,39230728.247,2022,un_comtrade,energy,2711,natural_gas,USD
JP,DZ,37114284.786,2023,un_comtrade,energy,2711,natural_gas,USD
JP,CM,36957061.81,2024,un_comtrade,energy,2711,natural_gas,USD
JP,BE,35373746.088,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,DK,34418538.699,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,MZ,34100884.595,2024,un_comtrade,energy,2711,natural_gas,USD
JP,BH,33553096.834,2022,un_comtrade,energy,2711,natural_gas,USD
JP,TT,30788510.944,2023,un_comtrade,energy,2711,natural_gas,USD
JP,TT,29638821.61,2024,un_comtrade,energy,2711,natural_gas,USD
JP,IQ,28856696.958,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,DZ,28395744.452,2024,un_comtrade,energy,2711,natural_gas,USD
JP,FR,28111369.889,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,FR,27512450.132,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,FR,26216639.677,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,MZ,25000556.997,2023,un_comtrade,energy,2701,coal,USD
